len,k,p,num_of_chains,steps,delta_t,time,chain_e2e_avg_distance,msd,chain_center_of_mass_msd,tracking_monomer_0,tracking_monomer_msd_0,tracking_monomer_1,tracking_monomer_msd_1,tracking_monomer_2,tracking_monomer_msd_2
50,1000,100,500,500000,5e-05,5e-05,0.3794616504715166,49.96596626618385,2.0056787480217274e-06,0,0.00033912905175936185,13,0.0006218246148088621,25,0.0006183245994280958
50,1000,100,500,500000,5e-05,0.0001,0.3748312933393077,49.95148502466208,4.24451871574661e-06,0,0.0010752268814329348,13,0.0020443038908901597,25,0.002002827580170848
50,1000,100,500,500000,5e-05,0.00015000000000000001,0.37096574545807265,49.94534195619603,6.452955303354972e-06,0,0.002103765502975129,13,0.00397972282360837,25,0.003964485171142579
50,1000,100,500,500000,5e-05,0.0002,0.36775786036710834,49.94207310764828,8.97659713861886e-06,0,0.003371074429569651,13,0.006293299761115271,25,0.006206007758571716
50,1000,100,500,500000,5e-05,0.00025,0.3643174610651244,49.92998803228897,1.1839881697637823e-05,0,0.0048088722878498165,13,0.008724498825829367,25,0.008655185903131418
50,1000,100,500,500000,5e-05,0.00030000000000000003,0.362135939336381,49.930944938445876,1.4369316803466275e-05,0,0.00638893205279526,13,0.011241571751613251,25,0.011206442855495703
50,1000,100,500,500000,5e-05,0.00035,0.35896622172320725,49.925100809567,1.723071120315059e-05,0,0.008043568252658869,13,0.013728146590696724,25,0.013725015571320349
50,1000,100,500,500000,5e-05,0.0004,0.35725877045255117,49.91763082856652,2.0647803140999192e-05,0,0.00972090611986912,13,0.01629557811710549,25,0.01616219253033285
50,1000,100,500,500000,5e-05,0.00045000000000000004,0.35548450292149736,49.91246570448803,2.3462794414958993e-05,0,0.011452139670991032,13,0.018790405420425822,25,0.01855367116208612
50,1000,100,500,500000,5e-05,0.0005,0.353104763898425,49.90454907409458,2.6470309800771315e-05,0,0.013052166852839235,13,0.0212106057675995,25,0.020894680146001706
