len,k,p,num_of_chains,steps,delta_t,time,chain_e2e_avg_distance,msd
100,1000,100,100,500000,5e-05,5e-05,0.7002124583144752,100.65193457042571
100,1000,100,100,500000,5e-05,0.0001,0.7075507465468739,100.7015714028948
100,1000,100,100,500000,5e-05,0.00015000000000000001,0.7159249883392553,100.74627049822921
100,1000,100,100,500000,5e-05,0.0002,0.7226169716666885,100.78084900298757
100,1000,100,100,500000,5e-05,0.00025,0.7300200350906165,100.77178771393628
100,1000,100,100,500000,5e-05,0.00030000000000000003,0.7373024857619654,100.80781785290233
100,1000,100,100,500000,5e-05,0.00035,0.7438445670964869,100.83316238323421
100,1000,100,100,500000,5e-05,0.0004,0.7507450838167053,100.84846112273283
100,1000,100,100,500000,5e-05,0.00045000000000000004,0.758473208564268,100.84879707203869
100,1000,100,100,500000,5e-05,0.0005,0.764892158891118,100.86836735732678
100,1000,100,100,500000,5e-05,0.00055,0.7722979593388831,100.88247553979352
100,1000,100,100,500000,5e-05,0.0006000000000000001,0.7797452678546639,100.91140472106964
100,1000,100,100,500000,5e-05,0.0006500000000000001,0.7865715998772468,100.93177948192671
100,1000,100,100,500000,5e-05,0.0007,0.7929857492769649,100.94039711470025
100,1000,100,100,500000,5e-05,0.00075,0.798518882438267,100.93983829953751
100,1000,100,100,500000,5e-05,0.0008,0.8056167289048364,100.96228443265967
100,1000,100,100,500000,5e-05,0.0008500000000000001,0.8110836484588811,100.95714652026763
100,1000,100,100,500000,5e-05,0.0009000000000000001,0.818162218155026,100.95855416622072
100,1000,100,100,500000,5e-05,0.00095,0.8251609645260148,100.97533479834539
100,1000,100,100,500000,5e-05,0.001,0.8317045647053133,101.02886115854129
100,1000,100,100,500000,5e-05,0.0010500000000000002,0.8377663331886138,101.02588835246975
100,1000,100,100,500000,5e-05,0.0011,0.8441529854018005,101.02530712820193
100,1000,100,100,500000,5e-05,0.00115,0.8494407959332873,101.01170025789796
100,1000,100,100,500000,5e-05,0.0012000000000000001,0.856008903705162,101.03035599626381
100,1000,100,100,500000,5e-05,0.00125,0.8623174796642719,101.0130911991462
100,1000,100,100,500000,5e-05,0.0013000000000000002,0.8695617052136756,101.06594279554383
100,1000,100,100,500000,5e-05,0.00135,0.8764585169210485,101.08200893495868
100,1000,100,100,500000,5e-05,0.0014,0.8825802516336076,101.10394674177509
100,1000,100,100,500000,5e-05,0.0014500000000000001,0.8888924622240418,101.13093433560982
100,1000,100,100,500000,5e-05,0.0015,0.8955290203549149,101.12029113999792
100,1000,100,100,500000,5e-05,0.0015500000000000002,0.9012710179430088,101.13894237008849
100,1000,100,100,500000,5e-05,0.0016,0.909402993960915,101.15411736897263
100,1000,100,100,500000,5e-05,0.00165,0.9148360931596069,101.16255596613448
100,1000,100,100,500000,5e-05,0.0017000000000000001,0.9217575611708781,101.19543054385153
100,1000,100,100,500000,5e-05,0.00175,0.9295399528465959,101.22678363529913
100,1000,100,100,500000,5e-05,0.0018000000000000002,0.9355137568832811,101.23226059762996
100,1000,100,100,500000,5e-05,0.00185,0.940698864436538,101.24406735654519
100,1000,100,100,500000,5e-05,0.0019,0.9467431588000346,101.2433881792733
100,1000,100,100,500000,5e-05,0.0019500000000000001,0.9540560504021914,101.27340983282949
100,1000,100,100,500000,5e-05,0.002,0.9595653175723194,101.25334974227835
100,1000,100,100,500000,5e-05,0.00205,0.9667034395490746,101.24517488543584
100,1000,100,100,500000,5e-05,0.0021000000000000003,0.9750612351583963,101.24782176061044
100,1000,100,100,500000,5e-05,0.00215,0.981348562152806,101.26833238534846
100,1000,100,100,500000,5e-05,0.0022,0.9897046226465629,101.28251397289958
100,1000,100,100,500000,5e-05,0.0022500000000000003,0.9975130998058215,101.29756817594543
100,1000,100,100,500000,5e-05,0.0023,1.0035168022472492,101.30566824484275
100,1000,100,100,500000,5e-05,0.00235,1.0109314826447662,101.33389409971105
100,1000,100,100,500000,5e-05,0.0024000000000000002,1.0172789259932882,101.33519304749392
100,1000,100,100,500000,5e-05,0.00245,1.0247099068678613,101.35644449126039
100,1000,100,100,500000,5e-05,0.0025,1.03132414982149,101.38769023977044
100,1000,100,100,500000,5e-05,0.00255,1.0384685196540866,101.39481696993056
100,1000,100,100,500000,5e-05,0.0026000000000000003,1.0456262503129126,101.39851073646234
100,1000,100,100,500000,5e-05,0.00265,1.0540569637224781,101.41044461842317
100,1000,100,100,500000,5e-05,0.0027,1.0617225650439701,101.42180603336413
100,1000,100,100,500000,5e-05,0.0027500000000000003,1.068479198281486,101.45070534121442
100,1000,100,100,500000,5e-05,0.0028,1.0760607034799958,101.4874193384197
100,1000,100,100,500000,5e-05,0.00285,1.0838472216099544,101.52687507364367
100,1000,100,100,500000,5e-05,0.0029000000000000002,1.0908870097154413,101.51617967746856
100,1000,100,100,500000,5e-05,0.00295,1.0976136311761417,101.51323553081687
100,1000,100,100,500000,5e-05,0.003,1.105790017431526,101.52027288387109
100,1000,100,100,500000,5e-05,0.00305,1.1127229331572845,101.52803459230633
100,1000,100,100,500000,5e-05,0.0031000000000000003,1.1184830425565424,101.53318623293244
100,1000,100,100,500000,5e-05,0.00315,1.126994115705948,101.5551944124215
100,1000,100,100,500000,5e-05,0.0032,1.1345322338628898,101.59570792923016
100,1000,100,100,500000,5e-05,0.0032500000000000003,1.1415264320157543,101.60531456112793
100,1000,100,100,500000,5e-05,0.0033,1.1502528217371903,101.60933957549707
100,1000,100,100,500000,5e-05,0.00335,1.1564210847304885,101.60107722935773
100,1000,100,100,500000,5e-05,0.0034000000000000002,1.1627894019656038,101.61584394885175
100,1000,100,100,500000,5e-05,0.0034500000000000004,1.1698470221275836,101.65056396912716
100,1000,100,100,500000,5e-05,0.0035,1.177005099020094,101.65360075621646
100,1000,100,100,500000,5e-05,0.00355,1.1842440338006412,101.68514424102034
100,1000,100,100,500000,5e-05,0.0036000000000000003,1.1915939570111076,101.68600793833775
100,1000,100,100,500000,5e-05,0.00365,1.199213528087735,101.71955372117445
100,1000,100,100,500000,5e-05,0.0037,1.2069102455638123,101.72312361527995
100,1000,100,100,500000,5e-05,0.0037500000000000003,1.2144122081168338,101.75284808366514
100,1000,100,100,500000,5e-05,0.0038,1.219739394932067,101.77229515530553
100,1000,100,100,500000,5e-05,0.00385,1.2260877268874522,101.796592914712
100,1000,100,100,500000,5e-05,0.00395,1.2409059199177948,101.83752927156573
100,1000,100,100,500000,5e-05,0.004,1.246755142860027,101.86567297564038
100,1000,100,100,500000,5e-05,0.00405,1.254934253086619,101.87887979590958
100,1000,100,100,500000,5e-05,0.0041,1.26250418195845,101.89056400287565
100,1000,100,100,500000,5e-05,0.00415,1.2704510862503053,101.92710695573071
100,1000,100,100,500000,5e-05,0.004200000000000001,1.2758497328697003,101.93515135719639
100,1000,100,100,500000,5e-05,0.00425,1.2836213042849203,101.93377713247837
100,1000,100,100,500000,5e-05,0.0043,1.2906587761766628,101.94006137263557
100,1000,100,100,500000,5e-05,0.004350000000000001,1.2982822726367695,101.94464728127781
100,1000,100,100,500000,5e-05,0.0044,1.305234561508873,101.94512576474186
100,1000,100,100,500000,5e-05,0.0045000000000000005,1.3184370433769264,101.98522109936428
100,1000,100,100,500000,5e-05,0.00455,1.3250353618570887,101.98885714888053
100,1000,100,100,500000,5e-05,0.0046,1.3333696185112374,102.01709388617456
100,1000,100,100,500000,5e-05,0.0046500000000000005,1.3406443157417474,102.03070784104142
100,1000,100,100,500000,5e-05,0.0047,1.346113939176019,102.04437101838037
100,1000,100,100,500000,5e-05,0.0048000000000000004,1.3607947400377385,102.04114384519434
100,1000,100,100,500000,5e-05,0.00485,1.3686670766743712,102.03671403463245
100,1000,100,100,500000,5e-05,0.0049,1.3761400506934172,102.09862671136685
100,1000,100,100,500000,5e-05,0.005,1.3909385160215313,102.09170248835242
100,1000,100,100,500000,5e-05,0.005050000000000001,1.3987433971151866,102.15175752314437
100,1000,100,100,500000,5e-05,0.0051,1.4063617055947752,102.15645379875272
100,1000,100,100,500000,5e-05,0.005200000000000001,1.4205337100843654,102.18549996366585
100,1000,100,100,500000,5e-05,0.00525,1.428188804159556,102.19123579548271
100,1000,100,100,500000,5e-05,0.0053,1.435390597829902,102.21953546862973
100,1000,100,100,500000,5e-05,0.0054,1.448138596781017,102.21832036174226
100,1000,100,100,500000,5e-05,0.00545,1.4567484238556678,102.2534060079898
100,1000,100,100,500000,5e-05,0.00555,1.468780456672321,102.26217442654647
100,1000,100,100,500000,5e-05,0.0056,1.4761764917356575,102.28019082795032
100,1000,100,100,500000,5e-05,0.0057,1.4893812615111912,102.28641819013392
100,1000,100,100,500000,5e-05,0.00575,1.4971877123810458,102.28837042968574
100,1000,100,100,500000,5e-05,0.00585,1.5120014002950932,102.36470632970213
100,1000,100,100,500000,5e-05,0.0059,1.519940347298026,102.36697640262808
100,1000,100,100,500000,5e-05,0.006,1.535270357740649,102.42495927864073
100,1000,100,100,500000,5e-05,0.006050000000000001,1.542913197458084,102.46124026652129
100,1000,100,100,500000,5e-05,0.00615,1.5574801062855,102.49161696179596
100,1000,100,100,500000,5e-05,0.00625,1.5707186282403076,102.54618448353125
100,1000,100,100,500000,5e-05,0.0063,1.5789552019628903,102.55844001619103
100,1000,100,100,500000,5e-05,0.0064,1.5935142671773546,102.61057614840522
100,1000,100,100,500000,5e-05,0.006500000000000001,1.610254117892312,102.64862925262723
100,1000,100,100,500000,5e-05,0.00655,1.6168658602409622,102.62619622266857
100,1000,100,100,500000,5e-05,0.0066500000000000005,1.6316718125193537,102.68008129816354
100,1000,100,100,500000,5e-05,0.00675,1.6453508357358144,102.71742093630019
100,1000,100,100,500000,5e-05,0.00685,1.6598139137985817,102.78039600242015
100,1000,100,100,500000,5e-05,0.006900000000000001,1.667041739997799,102.78093413656578
100,1000,100,100,500000,5e-05,0.007,1.68116434683574,102.80931986268135
100,1000,100,100,500000,5e-05,0.0071,1.694542993069884,102.83311702190584
100,1000,100,100,500000,5e-05,0.007200000000000001,1.7101740381427097,102.89167306638214
100,1000,100,100,500000,5e-05,0.0073,1.7245521349904174,102.95229536624169
100,1000,100,100,500000,5e-05,0.0074,1.740550580165344,102.9664157531705
100,1000,100,100,500000,5e-05,0.007500000000000001,1.7548423672301763,103.0219993942284
100,1000,100,100,500000,5e-05,0.0076,1.7699313151772424,103.05148712855042
100,1000,100,100,500000,5e-05,0.0077,1.7839226804900505,103.06702056331218
100,1000,100,100,500000,5e-05,0.0078000000000000005,1.7961718267327822,103.13682189718877
100,1000,100,100,500000,5e-05,0.0079,1.8096162394147823,103.1762087087288
100,1000,100,100,500000,5e-05,0.008,1.8261412960646135,103.22405601728205
100,1000,100,100,500000,5e-05,0.0081,1.8387729926006815,103.22040243302776
100,1000,100,100,500000,5e-05,0.0082,1.8536098687610154,103.20711826259641
100,1000,100,100,500000,5e-05,0.0083,1.8698190428870478,103.23852530043712
100,1000,100,100,500000,5e-05,0.008450000000000001,1.8894769838391943,103.23453259854257
100,1000,100,100,500000,5e-05,0.00855,1.9059776416335479,103.29699708570624
100,1000,100,100,500000,5e-05,0.00865,1.9218344267472212,103.37485144072265
100,1000,100,100,500000,5e-05,0.00875,1.9342249690651612,103.40778839957633
100,1000,100,100,500000,5e-05,0.0089,1.954074090613142,103.46803550822075
100,1000,100,100,500000,5e-05,0.009000000000000001,1.967735859784208,103.50719741895327
100,1000,100,100,500000,5e-05,0.00915,1.9882132778617412,103.54686469188113
100,1000,100,100,500000,5e-05,0.009250000000000001,2.0033611014982724,103.58496074742985
100,1000,100,100,500000,5e-05,0.00935,2.017632142186116,103.62072827166945
100,1000,100,100,500000,5e-05,0.0095,2.0407656231977835,103.67898795872605
100,1000,100,100,500000,5e-05,0.009600000000000001,2.0552361208275385,103.69616788377336
100,1000,100,100,500000,5e-05,0.00975,2.070881535960468,103.73105907961171
100,1000,100,100,500000,5e-05,0.0099,2.0921615512840233,103.82269004875465
100,1000,100,100,500000,5e-05,0.01,2.1063876959233023,103.87713162734237
100,1000,100,100,500000,5e-05,0.010150000000000001,2.1291464263722903,103.91262725336337
100,1000,100,100,500000,5e-05,0.01025,2.1432085923849633,103.94563518746897
100,1000,100,100,500000,5e-05,0.010400000000000001,2.166370197923469,103.99515818166643
100,1000,100,100,500000,5e-05,0.01055,2.187050983810101,104.08310278986961
100,1000,100,100,500000,5e-05,0.010700000000000001,2.208198702006332,104.19198726936885
100,1000,100,100,500000,5e-05,0.01085,2.228514866318332,104.24096750297302
100,1000,100,100,500000,5e-05,0.01095,2.2431452189849184,104.28785810776937
100,1000,100,100,500000,5e-05,0.0111,2.2637723312029245,104.36917772224477
100,1000,100,100,500000,5e-05,0.011250000000000001,2.282760357723064,104.41586330337311
100,1000,100,100,500000,5e-05,0.0114,2.3026154783653148,104.474111311978
100,1000,100,100,500000,5e-05,0.011550000000000001,2.3225033467149765,104.54101699408136
100,1000,100,100,500000,5e-05,0.0117,2.3417352097325956,104.60386809320164
100,1000,100,100,500000,5e-05,0.011850000000000001,2.360837617613864,104.68499299713307
100,1000,100,100,500000,5e-05,0.01205,2.388660943254117,104.71732790424612
100,1000,100,100,500000,5e-05,0.0122,2.4074620171146943,104.84491161408161
100,1000,100,100,500000,5e-05,0.01235,2.4268322962385405,104.92098516248114
100,1000,100,100,500000,5e-05,0.0125,2.443730410699376,104.97010517050987
100,1000,100,100,500000,5e-05,0.012700000000000001,2.4695713196561444,105.11770691169983
100,1000,100,100,500000,5e-05,0.01285,2.490742540405879,105.16757969815484
100,1000,100,100,500000,5e-05,0.013000000000000001,2.5098141670903837,105.24311343747232
100,1000,100,100,500000,5e-05,0.0132,2.5370641631709194,105.34952136619228
100,1000,100,100,500000,5e-05,0.01335,2.5572763414977904,105.41112550780905
100,1000,100,100,500000,5e-05,0.013550000000000001,2.5799012589633956,105.4308047379485
100,1000,100,100,500000,5e-05,0.0137,2.599999453930269,105.50936492842123
100,1000,100,100,500000,5e-05,0.013900000000000001,2.6273555325748448,105.70704451289456
100,1000,100,100,500000,5e-05,0.014100000000000001,2.6519494300311175,105.81056150381066
100,1000,100,100,500000,5e-05,0.01425,2.6691152955341515,105.91871146587422
100,1000,100,100,500000,5e-05,0.014450000000000001,2.692766437555872,105.95587398411078
100,1000,100,100,500000,5e-05,0.014650000000000002,2.7199604392148946,105.9862131863521
100,1000,100,100,500000,5e-05,0.01485,2.745326859131517,106.10186210609338
100,1000,100,100,500000,5e-05,0.015050000000000001,2.770863539672235,106.26445959812614
100,1000,100,100,500000,5e-05,0.015250000000000001,2.7962697334749573,106.35119848489938
100,1000,100,100,500000,5e-05,0.01545,2.82123606134552,106.4653907615229
100,1000,100,100,500000,5e-05,0.01565,2.846306581408185,106.57533049661023
100,1000,100,100,500000,5e-05,0.01585,2.8698859695357437,106.67130362295138
100,1000,100,100,500000,5e-05,0.016050000000000002,2.8931848414151107,106.76057329000176
100,1000,100,100,500000,5e-05,0.016300000000000002,2.9216438326508656,106.91666694584832
100,1000,100,100,500000,5e-05,0.0165,2.9452535509818367,106.99325125922522
100,1000,100,100,500000,5e-05,0.0167,2.967169218337917,107.13320572741063
100,1000,100,100,500000,5e-05,0.01695,2.99366805263254,107.25902014223033
100,1000,100,100,500000,5e-05,0.017150000000000002,3.016284193158979,107.33707459811453
100,1000,100,100,500000,5e-05,0.017400000000000002,3.043389836953397,107.41913085011923
100,1000,100,100,500000,5e-05,0.0176,3.067104086082163,107.54910987643197
100,1000,100,100,500000,5e-05,0.01785,3.091863741352885,107.67671243231294
100,1000,100,100,500000,5e-05,0.0181,3.119949205455806,107.8013839692197
100,1000,100,100,500000,5e-05,0.0183,3.1430455045086614,107.92533975406486
100,1000,100,100,500000,5e-05,0.01855,3.172244734337796,108.07687118149008
100,1000,100,100,500000,5e-05,0.0188,3.195152859063114,108.24496185981019
100,1000,100,100,500000,5e-05,0.01905,3.2213794875595827,108.34249617951892
100,1000,100,100,500000,5e-05,0.0193,3.246197011703196,108.4859150113086
100,1000,100,100,500000,5e-05,0.01955,3.2716769041143974,108.62050542214497
100,1000,100,100,500000,5e-05,0.0198,3.297270194967403,108.68582069828265
100,1000,100,100,500000,5e-05,0.0201,3.327707585683625,108.85963725894244
100,1000,100,100,500000,5e-05,0.02035,3.3536008636774333,109.01854279110387
