len,k,p,num_of_chains,steps,delta_t,time,chain_e2e_avg_distance,msd
50,1000,100,100,500000,5e-05,0.03875,4.5129258061352004,70.4571940952364
50,1000,100,100,500000,5e-05,0.03925,4.548272616585686,70.73745337630109
50,1000,100,100,500000,5e-05,0.03975,4.584785930116861,71.10092362839654
50,1000,100,100,500000,5e-05,0.0403,4.6233216338395025,71.44683612842832
50,1000,100,100,500000,5e-05,0.0408,4.658539179704172,71.77583886168654
50,1000,100,100,500000,5e-05,0.041350000000000005,4.6981122819276875,72.09366671680951
50,1000,100,100,500000,5e-05,0.0419,4.735922263239588,72.42013012760553
50,1000,100,100,500000,5e-05,0.04245,4.768808635530056,72.705320257601
50,1000,100,100,500000,5e-05,0.043000000000000003,4.808979655073758,73.17085142422275
50,1000,100,100,500000,5e-05,0.0436,4.847728344062117,73.551542940017
50,1000,100,100,500000,5e-05,0.04415,4.887977496908077,73.89813145883963
50,1000,100,100,500000,5e-05,0.044750000000000005,4.932811040245049,74.34375770024795
50,1000,100,100,500000,5e-05,0.04535,4.973361887703632,74.74863056569588
50,1000,100,100,500000,5e-05,0.045950000000000005,5.015283175742475,75.16923679040987
50,1000,100,100,500000,5e-05,0.04655,5.059388547772273,75.52212845195652
50,1000,100,100,500000,5e-05,0.047150000000000004,5.094564645722626,75.83017803628924
50,1000,100,100,500000,5e-05,0.0478,5.133595298556254,76.1685847713175
50,1000,100,100,500000,5e-05,0.048400000000000006,5.172214720704687,76.5370347622851
50,1000,100,100,500000,5e-05,0.04905,5.209799673216322,76.91513230846672
50,1000,100,100,500000,5e-05,0.0497,5.2565527308642235,77.38068118552748
50,1000,100,100,500000,5e-05,0.050350000000000006,5.3000276750844115,77.79039174532465
50,1000,100,100,500000,5e-05,0.051050000000000005,5.342230524104485,78.15678917822059
50,1000,100,100,500000,5e-05,0.0517,5.384863132424666,78.5811921420335
50,1000,100,100,500000,5e-05,0.0524,5.429376968501484,79.10438119365263
50,1000,100,100,500000,5e-05,0.0531,5.47287791192275,79.54459673781372
50,1000,100,100,500000,5e-05,0.0538,5.517792911059387,80.02400220287102
50,1000,100,100,500000,5e-05,0.0545,5.557619724369261,80.38979213499086
50,1000,100,100,500000,5e-05,0.055200000000000006,5.602691014838639,80.90284060140175
50,1000,100,100,500000,5e-05,0.05595,5.649800815003834,81.37595014000682
50,1000,100,100,500000,5e-05,0.0567,5.690875549618959,81.84006132062264
50,1000,100,100,500000,5e-05,0.05745,5.739553946800659,82.33045461249289
50,1000,100,100,500000,5e-05,0.0582,5.784529322019081,82.83396710627359
50,1000,100,100,500000,5e-05,0.05895,5.831881194988236,83.36287681973982
50,1000,100,100,500000,5e-05,0.059750000000000004,5.879551267095831,83.8960082972617
50,1000,100,100,500000,5e-05,0.060500000000000005,5.920768889611069,84.34036126782898
50,1000,100,100,500000,5e-05,0.0613,5.970270681586799,84.8821253675219
50,1000,100,100,500000,5e-05,0.062150000000000004,6.018029374873058,85.43451950522939
50,1000,100,100,500000,5e-05,0.06295,6.065852554905667,86.01256068617414
50,1000,100,100,500000,5e-05,0.06380000000000001,6.1153572156052265,86.54801664542191
50,1000,100,100,500000,5e-05,0.06465,6.163296820605398,87.13935979957614
50,1000,100,100,500000,5e-05,0.0655,6.213400941316182,87.76158674754448
50,1000,100,100,500000,5e-05,0.06635,6.262257464413098,88.36294904686605
50,1000,100,100,500000,5e-05,0.06725,6.31308980087421,88.99008850572415
50,1000,100,100,500000,5e-05,0.06810000000000001,6.359574036092647,89.48343672942013
50,1000,100,100,500000,5e-05,0.069,6.409416727937527,90.1156294619203
50,1000,100,100,500000,5e-05,0.06995,6.464675693370865,90.81774257290299
50,1000,100,100,500000,5e-05,0.07085000000000001,6.512585707462922,91.4577301378182
50,1000,100,100,500000,5e-05,0.0718,6.562809831303267,92.01364719324165
50,1000,100,100,500000,5e-05,0.07275000000000001,6.614322815672349,92.69523493345878
50,1000,100,100,500000,5e-05,0.0737,6.667483340007293,93.28470797045821
50,1000,100,100,500000,5e-05,0.07465000000000001,6.716074567277772,93.94078293105467
50,1000,100,100,500000,5e-05,0.07565000000000001,6.770433622762355,94.63788831038322
50,1000,100,100,500000,5e-05,0.07665000000000001,6.820722156578309,95.20423369086991
50,1000,100,100,500000,5e-05,0.07765,6.877299818985814,95.99659887133207
50,1000,100,100,500000,5e-05,0.0787,6.936546945331261,96.80805665688209
50,1000,100,100,500000,5e-05,0.07975,6.989759065508576,97.46983196469299
50,1000,100,100,500000,5e-05,0.08080000000000001,7.044291966797196,98.1152392237302
50,1000,100,100,500000,5e-05,0.08185,7.0973237417417,98.82576170666509
50,1000,100,100,500000,5e-05,0.08295000000000001,7.1538316844071845,99.64831746034277
50,1000,100,100,500000,5e-05,0.08405,7.208243579974837,100.3730461041462
50,1000,100,100,500000,5e-05,0.08515,7.263721574374306,101.12011034707206
50,1000,100,100,500000,5e-05,0.08625000000000001,7.31587822822093,101.75667183265892
50,1000,100,100,500000,5e-05,0.0874,7.365951294971115,102.48101209751107
50,1000,100,100,500000,5e-05,0.08855,7.42202162407616,103.39690688992208
50,1000,100,100,500000,5e-05,0.08975000000000001,7.484602182829109,104.25626822447438
50,1000,100,100,500000,5e-05,0.09090000000000001,7.539166861720391,105.02059714636913
50,1000,100,100,500000,5e-05,0.0921,7.594784721545396,105.78037241418211
50,1000,100,100,500000,5e-05,0.09335,7.6614485673487955,106.66964976949794
50,1000,100,100,500000,5e-05,0.09455000000000001,7.717438887552967,107.4482229988928
50,1000,100,100,500000,5e-05,0.09580000000000001,7.779014108648851,108.34446949379112
50,1000,100,100,500000,5e-05,0.0971,7.844899296663301,109.28304344105204
50,1000,100,100,500000,5e-05,0.09835,7.900098072334398,110.09437360488491
50,1000,100,100,500000,5e-05,0.09965,7.956986427628046,111.01176533151772
50,1000,100,100,500000,5e-05,0.101,8.023403319291075,112.05948104879855
50,1000,100,100,500000,5e-05,0.1023,8.079907732704138,112.86535765303186
50,1000,100,100,500000,5e-05,0.10365,8.143527851772214,113.8435281407431
50,1000,100,100,500000,5e-05,0.10505,8.21234888788572,114.98677867219129
50,1000,100,100,500000,5e-05,0.10645,8.27535931488667,116.0079073921221
50,1000,100,100,500000,5e-05,0.10785,8.334351050209653,116.87963595320929
50,1000,100,100,500000,5e-05,0.10925,8.397627278630905,117.87474741238373
50,1000,100,100,500000,5e-05,0.1107,8.465853999140277,119.08804428264588
50,1000,100,100,500000,5e-05,0.11215,8.531583387711375,120.04172116001244
50,1000,100,100,500000,5e-05,0.11365,8.60028954704907,121.14485382842126
50,1000,100,100,500000,5e-05,0.11515,8.667733662999671,122.22661562541907
50,1000,100,100,500000,5e-05,0.11665,8.728590837637535,123.3248214446679
50,1000,100,100,500000,5e-05,0.1182,8.794289185619034,124.4312803433239
50,1000,100,100,500000,5e-05,0.1198,8.856844160636069,125.58424181694073
50,1000,100,100,500000,5e-05,0.12135,8.920955748820353,126.71108037195525
50,1000,100,100,500000,5e-05,0.12295,8.990840600509792,127.95112136570165
50,1000,100,100,500000,5e-05,0.1246,9.059722132308837,129.20478348229915
50,1000,100,100,500000,5e-05,0.12625,9.123230828766296,130.25449329709696
50,1000,100,100,500000,5e-05,0.1279,9.191149266598137,131.38975105934085
50,1000,100,100,500000,5e-05,0.1296,9.26274137176094,132.79335183833746
50,1000,100,100,500000,5e-05,0.1313,9.331739839387865,133.95658261846935
50,1000,100,100,500000,5e-05,0.13305,9.406900484583637,135.3575439743262
50,1000,100,100,500000,5e-05,0.1348,9.476940650627803,136.5692273650386
50,1000,100,100,500000,5e-05,0.13655,9.547126526175493,137.89964768445878
50,1000,100,100,500000,5e-05,0.1384,9.618868004471878,139.4176185843007
50,1000,100,100,500000,5e-05,0.14020000000000002,9.693380358842719,140.77023677768054
