len,k,p,num_of_chains,steps,delta_t,time,chain_e2e_avg_distance,msd,chain_center_of_mass_msd,tracking_monomer_0,tracking_monomer_msd_0,tracking_monomer_1,tracking_monomer_msd_1,tracking_monomer_2,tracking_monomer_msd_2
100,1000,100,500,500000,5e-05,5e-05,0.5059418913760281,95.76864262538369,1.048770781510746e-06,0,0.0003898366874097219,25,0.000638093181566234,50,0.0005806237659524924
100,1000,100,500,500000,5e-05,0.0001,0.5013006127379332,95.73797866371562,2.1107595677296665e-06,0,0.0012428367728684222,25,0.0021024824204024808,50,0.0018877531686168482
100,1000,100,500,500000,5e-05,0.00015000000000000001,0.4969011130656255,95.71917037767302,3.4025490518180824e-06,0,0.0024219391871178257,25,0.004210407719588296,50,0.0036764635264165645
100,1000,100,500,500000,5e-05,0.0002,0.4933127097742855,95.69714229709655,4.7466033184204925e-06,0,0.003867756212109474,25,0.006657103029329158,50,0.005828016366517954
100,1000,100,500,500000,5e-05,0.00025,0.4895100788037271,95.67360831634994,5.897568547607891e-06,0,0.0053989872231350955,25,0.009265258038417393,50,0.008139158395911911
100,1000,100,500,500000,5e-05,0.00030000000000000003,0.48597006887744915,95.66001490675323,7.093341162604492e-06,0,0.007120404940039318,25,0.012064211355788211,50,0.010507104346686637
100,1000,100,500,500000,5e-05,0.00035,0.48316133219156987,95.64191975619161,8.77291677178128e-06,0,0.008892178256047078,25,0.014791459310761432,50,0.012908363751622458
100,1000,100,500,500000,5e-05,0.0004,0.4803627274162554,95.63124709903629,9.857656798629343e-06,0,0.010747529388975894,25,0.01754460761709605,50,0.015339412622760042
100,1000,100,500,500000,5e-05,0.00045000000000000004,0.477087731189825,95.6303291338998,1.1118551755808076e-05,0,0.012578162271891754,25,0.02013099372606736,50,0.017664043258155154
100,1000,100,500,500000,5e-05,0.0005,0.47480858213762517,95.61556032830309,1.2535045251481632e-05,0,0.014367172398970006,25,0.02278043052033113,50,0.019900913646865998
100,1000,100,500,500000,5e-05,0.00055,0.4723451292864943,95.6005368611912,1.383260764035732e-05,0,0.01615990692709192,25,0.025253474034079234,50,0.022189625202247616
100,1000,100,500,500000,5e-05,0.0006000000000000001,0.4696746037106848,95.58590423368364,1.4727957317437902e-05,0,0.017981966517713308,25,0.027502154315597223,50,0.024246442780422334
100,1000,100,500,500000,5e-05,0.0006500000000000001,0.46795696032678386,95.57410719492663,1.5702667055984715e-05,0,0.019792646629142863,25,0.029609598857745997,50,0.026163173190477795
100,1000,100,500,500000,5e-05,0.0007,0.4663065513414007,95.56367589695905,1.6958413795749015e-05,0,0.021499958055035115,25,0.031633688770979815,50,0.028045537309500584
100,1000,100,500,500000,5e-05,0.00075,0.4650973369077714,95.55289230317975,1.8223113419121474e-05,0,0.023311390618161846,25,0.03359561028360994,50,0.029728000702082945
100,1000,100,500,500000,5e-05,0.0008,0.4637694301109453,95.5361260213877,1.9286530626689884e-05,0,0.024986188452991116,25,0.035534220389166815,50,0.03121500280141153
100,1000,100,500,500000,5e-05,0.0008500000000000001,0.4621444776905781,95.53561399231835,2.0654922708444552e-05,0,0.026674775186846415,25,0.03727234124313119,50,0.03272857425169045
100,1000,100,500,500000,5e-05,0.0009000000000000001,0.46215105407502666,95.53252871469265,2.132517258450195e-05,0,0.028349242183258017,25,0.0386887527024629,50,0.034211396271876617
100,1000,100,500,500000,5e-05,0.00095,0.4615624484181543,95.52836095186366,2.240843700448969e-05,0,0.02992953547096848,25,0.040298030620181016,50,0.035630094520055576
100,1000,100,500,500000,5e-05,0.001,0.4608241753534693,95.51865482066879,2.363590331599108e-05,0,0.0316606048678516,25,0.04162049351895319,50,0.03692719419458499
100,1000,100,500,500000,5e-05,0.0010500000000000002,0.4603946426787254,95.50585333550654,2.456708802744128e-05,0,0.033420202204782416,25,0.04290190833494121,50,0.03812979758361855
100,1000,100,500,500000,5e-05,0.0011,0.46085172645305733,95.49727583387684,2.5437701289567085e-05,0,0.0350982436575528,25,0.044040702099937,50,0.03906470282766732
100,1000,100,500,500000,5e-05,0.00115,0.46072692495438,95.49741760625277,2.65170971404247e-05,0,0.03682875940459316,25,0.045269449563752236,50,0.040034463874228515
100,1000,100,500,500000,5e-05,0.0012000000000000001,0.4615203948724552,95.47634869782709,2.7720936550395862e-05,0,0.03835465571014074,25,0.04649199286092131,50,0.04118963847666071
100,1000,100,500,500000,5e-05,0.00125,0.46117320828183456,95.4737296503115,2.8941277064779732e-05,0,0.03996094569801898,25,0.04764896881415615,50,0.042179504902553296
100,1000,100,500,500000,5e-05,0.0013000000000000002,0.46226560077200674,95.47339193664088,3.029479740859494e-05,0,0.04155658470114966,25,0.0486574090190242,50,0.04321105341887122
100,1000,100,500,500000,5e-05,0.00135,0.4624500075324954,95.47423766386943,3.137777953194916e-05,0,0.04309797256504951,25,0.04934869195843305,50,0.04405034073988934
100,1000,100,500,500000,5e-05,0.0014,0.4627882448872252,95.47229694223007,3.302933391106737e-05,0,0.044899896784617956,25,0.050271451055261034,50,0.04488823082061568
100,1000,100,500,500000,5e-05,0.0014500000000000001,0.4631959632529564,95.47687819782765,3.417558863253876e-05,0,0.04651946493961757,25,0.05117782555532484,50,0.04561589520991337
100,1000,100,500,500000,5e-05,0.0015,0.4638792584407452,95.47556779890763,3.527808724419047e-05,0,0.048069882869138644,25,0.05199291976507503,50,0.04637558553148731
100,1000,100,500,500000,5e-05,0.0015500000000000002,0.46499125535668945,95.46945848933694,3.662436879151513e-05,0,0.0497777781407551,25,0.052787758742788106,50,0.04722242679369161
